predictor,outcome,rho,p_value,n
Polyphen2_HDIV_rankscore,Aβ42 [%],0.08500490457029732,0.622066720317215,36
Polyphen2_HVAR_rankscore,Aβ42 [%],0.2272679258285402,0.18253043100672078,36
MutationTaster_rankscore,Aβ42 [%],0.4322616358365129,0.008468179911706659,36
MutationAssessor_rankscore,Aβ42 [%],0.3212101872196246,0.056106140078550804,36
PROVEAN_converted_rankscore,Aβ42 [%],0.30413797604648163,0.07132251459072524,36
VEST4_rankscore,Aβ42 [%],0.4711637643291583,0.003725845380033727,36
MetaSVM_rankscore,Aβ42 [%],-0.07941308980985154,0.6452355386816148,36
MetaLR_rankscore,Aβ42 [%],0.26791118220602755,0.1141592865727423,36
MetaRNN_rankscore,Aβ42 [%],0.4864864864864865,0.0026252614519253255,36
M-CAP_rankscore,Aβ42 [%],0.1557422969187675,0.37164811538795484,35
REVEL_rankscore,Aβ42 [%],0.24142151424651073,0.1560478503598103,36
MutPred2_rankscore,Aβ42 [%],0.4226512226512227,0.010228308752118621,36
MVP_rankscore,Aβ42 [%],0.6056022408963586,0.00011581939619781496,35
gMVP_rankscore,Aβ42 [%],0.40978120978120985,0.01306481578515143,36
MPC_rankscore,Aβ42 [%],0.24118404118404121,0.1564678419179573,36
PrimateAI_rankscore,Aβ42 [%],0.3503217503217504,0.03620273856425049,36
DEOGEN2_rankscore,Aβ42 [%],0.34730000003790423,0.03795377576458885,36
BayesDel_addAF_rankscore,Aβ42 [%],0.3835263835263836,0.020941710878122383,36
BayesDel_noAF_rankscore,Aβ42 [%],0.33153153153153153,0.048239774269803276,36
ClinPred_rankscore,Aβ42 [%],0.1962803273258081,0.2512482611108475,36
LIST-S2_rankscore,Aβ42 [%],-0.02252397198820749,0.8962572838144114,36
VARITY_R_rankscore,Aβ42 [%],0.47722007722007725,0.0032505030838085097,36
VARITY_ER_rankscore,Aβ42 [%],0.4630630630630631,0.004455207307401344,36
VARITY_R_LOO_rankscore,Aβ42 [%],0.4661518661518662,0.004163716489270814,36
VARITY_ER_LOO_rankscore,Aβ42 [%],0.4522522522522523,0.0056188085682983,36
ESM1b_converted_rankscore,Aβ42 [%],0.33693693693693694,0.0444881067024283,36
AlphaMissense_rankscore,Aβ42 [%],0.459993586747783,0.004762195645133285,36
PHACTboost_rankscore,Aβ42 [%],0.43004248007167245,0.008849778225621099,36
MutFormer_rankscore,Aβ42 [%],0.4311121248055201,0.008664053977097375,36
MutScore_rankscore,Aβ42 [%],0.17235611798987469,0.3148061861189441,36
CADD_raw_rankscore,Aβ42 [%],0.3498069498069499,0.036496316510440815,36
DANN_rankscore,Aβ42 [%],0.3261261261261261,0.05224108520157858,36
fathmm-XF_coding_rankscore,Aβ42 [%],0.33979020599353016,0.04260471373685411,36
Eigen-raw_coding_rankscore,Aβ42 [%],0.2171310899663202,0.203355625404679,36
Eigen-PC-raw_coding_rankscore,Aβ42 [%],0.2143132982099176,0.20942670738133734,36
SIFT_converted_rankscore,Aβ43 [%],0.24313854747013816,0.15303540825344422,36
SIFT4G_converted_rankscore,Aβ43 [%],0.18716823147906564,0.27436237649364337,36
Polyphen2_HDIV_rankscore,Aβ43 [%],0.17310310774982252,0.31268134145116333,36
Polyphen2_HVAR_rankscore,Aβ43 [%],0.06635860876402305,0.7005897381945247,36
MutationTaster_rankscore,Aβ43 [%],0.2343002818286618,0.16900066299715827,36
MutationAssessor_rankscore,Aβ43 [%],0.2958906492813163,0.07974580310232979,36
PROVEAN_converted_rankscore,Aβ43 [%],0.1437144860961398,0.403037419098071,36
VEST4_rankscore,Aβ43 [%],0.13716158262978206,0.4250409554371273,36
MetaSVM_rankscore,Aβ43 [%],-0.12849158720983414,0.45515681564061194,36
MetaLR_rankscore,Aβ43 [%],0.3393774128259319,0.04287313757982727,36
MetaRNN_rankscore,Aβ43 [%],0.2721885562640107,0.10827758688236089,36
M-CAP_rankscore,Aβ43 [%],0.2111773102408548,0.22331519511573727,35
REVEL_rankscore,Aβ43 [%],0.07698277659381533,0.6554103143121736,36
MutPred2_rankscore,Aβ43 [%],0.3412031901982504,0.04169615847595612,36
MVP_rankscore,Aβ43 [%],0.20949238489318844,0.2271161312779762,35
gMVP_rankscore,Aβ43 [%],0.1848560194911504,0.2804413123771164,36
MPC_rankscore,Aβ43 [%],0.11455139239926138,0.5058923796044905,36
PrimateAI_rankscore,Aβ43 [%],0.10913342113713416,0.5263495208768667,36
DEOGEN2_rankscore,Aβ43 [%],0.4676483083021299,0.004028538770388309,36
BayesDel_addAF_rankscore,Aβ43 [%],0.2684475761068276,0.1134088119965454,36
BayesDel_noAF_rankscore,Aβ43 [%],0.2523226616362109,0.13763679981119054,36
ClinPred_rankscore,Aβ43 [%],0.2047995930678832,0.23084619491419847,36
LIST-S2_rankscore,Aβ43 [%],-0.005353816133743089,0.9752779942757573,36
